year,country_name,medal_type,count,past_medals,avg_last_3,delta
2008,Afghanistan,BRONZE,1,0.0,0.0,0.0
2012,Afghanistan,BRONZE,1,1.0,0.0,0.0
1984,Algeria,BRONZE,2,2.0,0.0,0.0
1992,Algeria,BRONZE,1,2.0,0.0,-1.0
1992,Algeria,GOLD,1,3.0,1.3333333333333333,0.0
1996,Algeria,BRONZE,1,4.0,1.0,0.0
1996,Algeria,GOLD,2,5.0,1.3333333333333333,1.0
2000,Algeria,BRONZE,3,7.0,2.0,1.0
2000,Algeria,GOLD,1,10.0,2.0,-2.0
2000,Algeria,SILVER,1,11.0,1.6666666666666667,0.0
2008,Algeria,BRONZE,1,12.0,1.0,0.0
2008,Algeria,SILVER,1,13.0,1.0,0.0
2012,Algeria,GOLD,1,14.0,1.0,0.0
2016,Algeria,SILVER,2,15.0,1.3333333333333333,1.0
1924,Argentina,BRONZE,2,17.0,0.0,0.0
1924,Argentina,GOLD,1,2.0,0.0,-1.0
1924,Argentina,SILVER,3,3.0,2.0,2.0
1928,Argentina,BRONZE,1,6.0,1.6666666666666667,-2.0
1928,Argentina,GOLD,3,7.0,2.3333333333333335,2.0
1928,Argentina,SILVER,3,10.0,2.3333333333333335,0.0
1932,Argentina,GOLD,3,13.0,3.0,0.0
1932,Argentina,SILVER,1,16.0,2.3333333333333335,-2.0
1936,Argentina,BRONZE,3,17.0,2.3333333333333335,2.0
1936,Argentina,GOLD,2,20.0,2.0,-1.0
1936,Argentina,SILVER,2,22.0,2.3333333333333335,0.0
1948,Argentina,BRONZE,1,24.0,1.6666666666666667,-1.0
1948,Argentina,GOLD,3,25.0,2.0,2.0
1948,Argentina,SILVER,3,28.0,2.3333333333333335,0.0
1952,Argentina,BRONZE,2,31.0,2.6666666666666665,-1.0
1952,Argentina,GOLD,1,33.0,2.0,-1.0
1952,Argentina,SILVER,2,34.0,1.6666666666666667,1.0
1956,Argentina,BRONZE,1,36.0,1.3333333333333333,-1.0
1956,Argentina,SILVER,1,37.0,1.3333333333333333,0.0
1960,Argentina,BRONZE,1,38.0,1.0,0.0
1960,Argentina,SILVER,1,39.0,1.0,0.0
1964,Argentina,SILVER,1,40.0,1.0,0.0
1968,Argentina,BRONZE,2,41.0,1.3333333333333333,1.0
1972,Argentina,SILVER,1,43.0,1.3333333333333333,-1.0
1988,Argentina,BRONZE,1,44.0,1.3333333333333333,0.0
1988,Argentina,SILVER,1,45.0,1.0,0.0
1992,Argentina,BRONZE,1,46.0,1.0,0.0
1996,Argentina,BRONZE,1,47.0,1.0,0.0
1996,Argentina,SILVER,2,48.0,1.3333333333333333,1.0
2000,Argentina,BRONZE,2,50.0,1.6666666666666667,0.0
2000,Argentina,SILVER,2,52.0,2.0,0.0
